speed,name
0.98,Abramis brama
13.38,Acanthocybium solandri
0.36,Acrossocheilus paradoxus
0.5,Alburnus alburnus
4.73,Alosa pseudoharengus
0.0,Amphiprion melanopus
1.13,Argyrosomus regius
0.68,Auxis rochei
0.13,Brevoortia tyrannus
0.9582608695652175,Carassius auratus
3.28,Carcharhinus leucas
0.77,Carcharhinus melanopterus
0.88,Carcharodon carcharias
0.48666666666666664,Catostomus occidentalis
1.26,Cetorhinus maximus
0.47,Chelidonichthys cuculus
0.61,Chelon ramada
0.6799999999999999,Chromis punctipinnis
1.74,Clupea harengus
0.56,Coryphaena hippurus
0.74,Cymatogaster aggregata
1.2866666666666664,Cyprinus carpio
0.4,Echiichthys vipera
0.77,Embiotoca jacksoni
1.8966666666666665,Esox lucius
3.2533333333333334,Euthynnus affinis
0.46,Gadus morhua
0.595,Galaxias maculatus
0.2,Gasterosteus aculeatus
0.75,Ginglymostoma cirratum
0.4,Hyperprosopon argenteum
0.4,Hypsurus caryi
36.1,Istiompax indica
1.8,Kajikia audax
4.13,Katsuwonus pelamis
0.48,Lavinia exilicauda
0.7,Leiostomus xanthurus
0.5775,Leucaspius delineatus
1.3494736842105264,Leuciscus leuciscus
4.691666666666666,Makaira nigricans
0.26,Megachasma pelagios
2.145,Melanogrammus aeglefinus
1.1066666666666667,Merlangius merlangus
0.79,Merluccius merluccius
0.88,Micropterus salmoides
0.41,Morone saxatilis
4.31,Mugil cephalus
0.5166666666666666,Mylopharodon conocephalus
1.025,Mylopharyngodon piceus
1.725,Negaprion brevirostris
0.61,Oncorhynchus gorbuscha
1.0325,Oncorhynchus kisutch
1.5236842105263158,Oncorhynchus mykiss
0.621,Oncorhynchus nerka
0.635,Oncorhynchus tshawytscha
0.98,Perca fluviatilis
0.59,Petromyzon marinus
0.46,Phanerodon furcatus
0.34,Pleuronectes platessa
2.0866666666666664,Pollachius virens
0.0,Pomacentrus amboinensis
0.4,Pomatomus saltatrix
0.27,Pomatoschistus minutus
2.0,Prionace glauca
3.005,Ptychocheilus grandis
2.183333333333333,Salmo trutta
2.29,Sarda lineolata
0.7749999999999999,Sarda sarda
1.292,Scardinius erythrophthalmus
1.585,Scomber japonicus
2.212857142857143,Scomber scombrus
20.8,Scomberomorus munroi
0.8,Sebastes mystinus
0.51,Sebastes serranoides
0.0,Sphaeramia nematoptera
7.960000000000001,Sphyraena barracuda
0.77,Sphyrna tiburo
0.72,Spinachia spinachia
0.9550000000000001,Sprattus sprattus
0.23,Tetraodon schoutedeni
6.614999999999999,Thunnus albacares
0.5349999999999999,Thunnus obesus
2.4725,Thunnus thynnus
2.8,Trachurus mediterraneus
1.374285714285714,Trachurus symmetricus
0.56,Triakis semifasciata
0.55,Trisopterus luscus
13.555,Xiphias gladius
0.3,Zeus faber
